Area,Bedrooms,Bathrooms,Balcony,Floor_No,Total_Floors,Carpet_Area,Parking_Count,Maintenance_Cost,City,Property_Type,Quality,Furnishing,Property_Age,Facing,Parking,Gym,Pool,Lift,Security,Garden,Play_Area,Club_House,Power_Backup,Water_Supply,WiFi,Maintenance,Fire_Safety,CCTV,Intercom,Rainwater,Visitor_Parking,Price
2656,1,2,2,15,16,2468,1,3191,Bangalore,independent,low,semi,20+,3,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,28007044
760,4,3,1,15,20,625,2,1218,Bangalore,apartment,high,full,5-10,6,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,6841165
2104,1,1,3,18,19,1588,0,7679,Bangalore,villa,low,semi,0-5,5,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,19811510
2606,1,2,3,17,25,2160,1,569,Chennai,villa,medium,full,5-10,6,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,16050743
2490,2,1,3,12,28,2122,0,4131,Mumbai,apartment,medium,semi,20+,2,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,23177490
1281,2,3,1,10,28,1044,0,5691,Pune,independent,medium,unfurnished,20+,3,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,13232349
1681,3,3,0,8,12,1398,1,4729,Bangalore,independent,medium,semi,5-10,7,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,13577933
1596,2,1,0,13,28,1211,0,2141,Mumbai,apartment,medium,semi,20+,4,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,20237112
3089,4,3,3,4,13,2417,2,6401,Bangalore,independent,medium,full,20+,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,29462651
3146,2,3,2,16,26,2560,1,7113,Rajahmundry,villa,medium,full,0-5,6,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,19148386
2839,3,2,2,15,16,2340,2,2143,Ahmedabad,independent,medium,unfurnished,20+,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,13677214
3092,1,2,3,8,9,2910,2,7551,Mumbai,independent,medium,full,20+,4,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,34376081
3045,3,3,0,2,23,2616,2,6801,Jaipur,villa,medium,unfurnished,0-5,5,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,17177616
2456,2,1,2,6,25,2132,1,7419,Chennai,apartment,medium,full,10-20,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,17787890
3034,1,1,0,16,25,2802,1,5236,Delhi,villa,low,unfurnished,0-5,6,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,32461905
1996,2,2,2,15,23,1515,1,2783,Ahmedabad,villa,low,semi,20+,3,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,14479171
3379,4,3,0,13,14,3090,1,7026,Pune,independent,low,semi,5-10,7,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,32935012
1840,2,3,2,16,17,1403,0,7266,Bangalore,apartment,high,semi,20+,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,15097567
650,1,1,3,0,17,585,1,3419,Ahmedabad,independent,medium,semi,5-10,5,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,6044130
1852,1,1,1,10,19,1723,1,6949,Hyderabad,villa,medium,semi,10-20,2,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,11690496
2831,1,1,0,19,24,2149,1,6196,Hyderabad,apartment,medium,full,10-20,7,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,25240100
2487,3,4,0,17,29,1960,2,7956,Pune,villa,medium,unfurnished,5-10,4,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,20492575
2886,4,4,2,15,29,2165,0,2055,Bangalore,independent,low,full,10-20,6,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,22375959
1518,2,3,2,12,18,1274,2,1906,Jaipur,independent,low,semi,10-20,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,9746817
2875,3,3,1,14,15,2493,2,7721,Jaipur,apartment,medium,semi,20+,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,20407543
2997,3,4,0,2,19,2258,0,2595,Ahmedabad,independent,medium,semi,20+,3,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,16925469
3483,3,2,3,16,17,2692,1,4749,Delhi,apartment,medium,full,10-20,3,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,22485075
1942,1,1,0,8,11,1640,1,2038,Chennai,villa,high,unfurnished,0-5,5,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,20302485
1472,1,1,3,2,21,1158,2,7546,Rajahmundry,villa,low,unfurnished,5-10,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,7650792
1102,2,2,0,7,8,964,2,197,Delhi,independent,high,full,20+,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,10032375
2936,2,2,1,9,10,2716,0,5237,Delhi,apartment,high,full,20+,4,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,25489850
1393,3,4,0,19,20,1311,1,3205,Ahmedabad,independent,high,semi,5-10,2,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,11787259
2463,3,3,0,8,22,1885,1,3367,Jaipur,villa,high,full,0-5,5,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,14351583
801,4,3,0,8,9,664,0,1625,Delhi,villa,high,semi,10-20,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,12191100
662,3,3,1,17,21,564,0,5203,Jaipur,apartment,medium,semi,20+,6,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,5145825
1028,1,1,3,7,19,784,1,5490,Hyderabad,villa,medium,unfurnished,5-10,5,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,12192171
2734,3,3,2,7,8,2352,2,6103,Kolkata,independent,high,unfurnished,20+,5,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,20540797
1051,4,3,1,13,23,976,2,4425,Kolkata,apartment,high,unfurnished,10-20,7,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,9046080
995,4,3,0,5,9,833,2,5619,Rajahmundry,villa,low,semi,5-10,7,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,5633996
3141,4,4,1,12,13,2526,2,6981,Hyderabad,apartment,medium,unfurnished,5-10,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,18576105
2915,1,1,0,6,10,2719,1,3028,Rajahmundry,villa,medium,semi,10-20,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,14192396
697,3,4,3,4,24,552,2,7315,Chennai,independent,high,unfurnished,5-10,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,8429547
1662,3,4,1,4,12,1477,1,4197,Hyderabad,independent,low,full,10-20,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,13884972
1309,4,3,1,11,15,1163,0,5657,Rajahmundry,independent,low,full,5-10,4,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,7722728
1534,3,3,2,9,10,1161,2,3223,Chennai,apartment,medium,full,0-5,2,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,9048614
2049,4,4,1,2,10,1942,2,4854,Hyderabad,independent,high,full,5-10,3,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,20359427
939,1,1,1,16,17,792,1,2033,Mumbai,villa,medium,unfurnished,0-5,7,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,9495267
2063,3,3,3,10,13,1955,2,6707,Mumbai,independent,low,full,5-10,4,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,16997733
3336,1,2,3,16,29,2675,2,2737,Hyderabad,villa,low,full,20+,2,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,22896772
1520,2,2,0,14,15,1423,2,954,Hyderabad,independent,medium,full,0-5,7,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,13228864
3345,3,3,3,12,13,2999,2,2383,Ahmedabad,apartment,high,full,20+,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,22812799
3010,1,1,2,17,18,2592,0,2012,Kolkata,villa,low,semi,10-20,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,18314546
1593,3,4,1,4,29,1446,1,7491,Bangalore,villa,low,semi,5-10,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,10848069
1506,1,1,2,14,19,1205,2,3609,Hyderabad,villa,medium,unfurnished,20+,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,15825334
3496,2,1,0,14,16,3221,1,1682,Jaipur,apartment,high,full,0-5,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,17826254
2280,1,1,3,14,27,2095,2,6530,Pune,villa,high,semi,10-20,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,14736038
3033,4,5,3,12,17,2281,1,2013,Hyderabad,villa,high,full,5-10,7,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,19889103
1933,2,1,1,7,18,1575,1,6368,Bangalore,apartment,low,semi,0-5,4,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,15526765
2594,1,2,2,5,9,2431,2,2270,Jaipur,villa,medium,semi,20+,5,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,20817984
1570,2,2,3,11,13,1327,2,2169,Chennai,independent,medium,unfurnished,20+,4,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,14058943
2337,3,4,0,14,15,2145,0,7005,Pune,independent,medium,unfurnished,20+,3,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,23287831
3225,3,3,3,5,7,2597,2,4281,Delhi,apartment,high,unfurnished,5-10,7,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,36535781
1152,2,2,3,14,15,982,0,3155,Hyderabad,independent,medium,unfurnished,10-20,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,11168643
1229,2,2,0,9,12,1125,0,6276,Mumbai,independent,low,unfurnished,20+,5,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,12790855
1219,3,2,3,17,18,928,2,1316,Mumbai,villa,low,unfurnished,10-20,2,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,10329025
816,2,1,0,6,24,696,1,918,Delhi,independent,medium,unfurnished,20+,7,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,10765460
2958,3,3,2,9,18,2362,1,3719,Ahmedabad,apartment,high,unfurnished,5-10,3,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,15128002
2208,1,1,0,15,16,2001,0,3230,Jaipur,independent,medium,unfurnished,5-10,5,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,12904523
3372,3,2,3,6,15,2998,0,5592,Bangalore,apartment,low,full,20+,5,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,26311176
3276,1,1,0,11,12,2718,0,3022,Mumbai,independent,high,full,5-10,5,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,42314014
923,1,1,1,18,19,722,0,3635,Chennai,villa,medium,semi,5-10,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,6807477
2945,4,4,2,0,12,2234,1,6702,Kolkata,villa,medium,unfurnished,5-10,3,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,26352548
3311,3,4,1,17,19,2896,0,1462,Hyderabad,apartment,high,unfurnished,10-20,3,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,21979760
3156,1,1,0,1,3,2743,1,3906,Rajahmundry,villa,low,full,0-5,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,22844916
2522,1,1,2,5,9,2202,0,6704,Hyderabad,apartment,high,unfurnished,20+,5,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,21256754
2094,2,2,3,3,5,1643,2,3374,Jaipur,independent,medium,semi,5-10,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,12467596
2603,4,3,0,19,20,2086,2,4895,Bangalore,apartment,medium,semi,0-5,5,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,19354462
910,2,3,1,10,15,863,0,243,Rajahmundry,independent,low,semi,5-10,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,7064812
2411,2,2,0,1,25,2039,0,4259,Bangalore,villa,medium,semi,0-5,3,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,26531825
691,1,2,1,19,20,556,2,4485,Hyderabad,independent,high,full,10-20,4,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,8868314
1952,4,4,1,18,19,1734,0,7427,Mumbai,independent,low,unfurnished,10-20,3,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,20215059
2149,3,2,0,4,23,1790,2,6548,Delhi,villa,high,unfurnished,5-10,6,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,16634545
1096,4,5,2,19,23,854,1,5827,Hyderabad,villa,high,unfurnished,0-5,3,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,9811472
841,2,1,3,10,23,741,2,6869,Ahmedabad,apartment,high,unfurnished,20+,6,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,7139741
1007,3,2,0,19,21,833,2,365,Mumbai,independent,high,full,10-20,2,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,11936710
959,1,1,1,14,18,721,1,6979,Jaipur,apartment,low,semi,10-20,5,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,4960683
1121,3,2,3,17,23,862,2,4941,Rajahmundry,apartment,medium,semi,20+,5,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,5649357
2796,1,1,0,7,14,2504,2,4758,Delhi,villa,high,unfurnished,5-10,3,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,27003375
3068,1,1,3,2,22,2647,0,5149,Kolkata,independent,low,unfurnished,10-20,7,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,22094492
2028,4,4,2,1,9,1673,0,2547,Mumbai,villa,medium,semi,5-10,5,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,18991660
1297,4,5,0,3,20,1175,1,226,Rajahmundry,apartment,medium,unfurnished,5-10,7,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,9407630
3345,3,3,3,1,18,2911,2,3888,Chennai,villa,low,semi,5-10,5,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,27501547
1075,3,4,2,12,13,896,2,2010,Delhi,independent,medium,full,10-20,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,13539375
2500,3,2,2,9,10,2089,2,4676,Pune,apartment,low,semi,20+,4,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,24815700
2219,4,3,3,11,12,1789,2,162,Kolkata,villa,medium,semi,10-20,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,20084425
2610,3,3,2,14,18,2339,2,1171,Ahmedabad,independent,high,unfurnished,5-10,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,13473630
2480,1,1,0,8,9,1935,2,6633,Jaipur,independent,medium,full,0-5,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,18790984
3489,1,1,1,15,25,3083,1,3215,Chennai,apartment,high,semi,20+,7,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,22246348
2501,4,4,2,7,21,2205,1,7548,Jaipur,villa,medium,unfurnished,10-20,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,20862316
1378,4,4,3,8,9,1109,2,5000,Ahmedabad,villa,medium,semi,20+,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,8268917
1212,4,4,1,13,22,1116,0,5643,Kolkata,apartment,high,unfurnished,10-20,4,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,9131890
2539,2,2,1,4,5,1999,0,264,Mumbai,villa,medium,semi,10-20,3,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,34022913
2803,4,4,1,0,21,2337,1,4136,Chennai,independent,medium,semi,10-20,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,18192265
1082,4,5,2,5,9,953,0,5063,Kolkata,independent,high,full,20+,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,6947486
2387,1,2,1,18,19,2207,2,2454,Hyderabad,villa,medium,semi,20+,4,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,19620401
682,2,3,2,9,19,621,0,7494,Jaipur,independent,high,unfurnished,20+,2,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,5755081
2981,2,1,3,3,28,2743,0,7804,Delhi,apartment,high,full,10-20,7,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,33549550
2586,4,3,0,8,29,1956,2,976,Hyderabad,apartment,low,full,10-20,7,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,24429504
778,4,5,2,3,22,705,2,2901,Hyderabad,villa,high,full,0-5,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,9114512
2244,1,2,3,13,14,1883,0,6796,Delhi,apartment,medium,unfurnished,5-10,7,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,16220775
2412,3,4,2,8,9,2047,2,1517,Chennai,independent,low,full,5-10,4,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,15324376
1119,1,2,1,12,15,852,2,1875,Hyderabad,villa,medium,semi,0-5,6,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,12676171
704,2,2,2,10,13,529,1,4658,Delhi,apartment,low,full,20+,2,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,7093160
2456,3,2,2,4,21,2238,2,4318,Jaipur,independent,low,semi,20+,4,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,15434599
1779,4,5,0,7,11,1541,1,7992,Delhi,apartment,high,semi,20+,3,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,18598207
2102,3,3,2,16,17,1861,0,5511,Hyderabad,villa,low,full,20+,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,15489335
2441,2,3,0,14,21,1971,0,2169,Pune,villa,low,full,10-20,5,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,22279579
2952,1,1,0,18,19,2392,0,7730,Rajahmundry,apartment,low,semi,10-20,3,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,17296380
2751,2,1,3,18,19,2465,0,656,Pune,villa,high,full,20+,2,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,22173976
1157,2,2,0,18,19,986,1,7166,Kolkata,villa,medium,full,0-5,5,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,10971126
3419,3,2,2,15,16,2604,0,2384,Bangalore,apartment,high,full,5-10,2,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,30960078
2433,4,4,0,15,16,2216,2,695,Jaipur,villa,high,full,10-20,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,16070316
800,3,2,3,2,3,616,2,3336,Hyderabad,villa,medium,semi,10-20,5,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,8467360
761,2,2,3,1,2,678,2,6046,Hyderabad,independent,high,full,5-10,7,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8822481
1904,2,3,0,9,10,1740,1,1587,Mumbai,villa,medium,semi,20+,5,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,27046454
1698,1,1,2,16,26,1539,1,3167,Delhi,villa,low,full,20+,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,13312455
2788,3,2,1,15,24,2628,0,2448,Rajahmundry,independent,medium,unfurnished,0-5,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,17661093
1030,1,1,0,19,20,903,0,2857,Bangalore,apartment,medium,full,20+,7,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,8757641
1248,1,1,2,0,4,1105,0,1772,Hyderabad,apartment,high,semi,10-20,3,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,13809206
2701,2,1,3,14,21,2397,0,3748,Delhi,villa,medium,unfurnished,20+,5,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,25730846
718,4,5,0,7,28,678,2,7669,Pune,villa,high,full,5-10,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,7157421
3202,1,1,2,3,15,2834,2,6919,Bangalore,independent,low,unfurnished,5-10,2,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,19853811
1230,1,1,2,14,28,1113,0,5690,Rajahmundry,independent,medium,unfurnished,5-10,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,8053342
815,2,1,2,8,14,621,0,2052,Mumbai,apartment,high,semi,0-5,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,10670709
2532,3,3,2,5,29,2142,0,3306,Bangalore,apartment,high,unfurnished,5-10,2,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,16485700
2224,2,3,2,5,22,1673,1,1283,Chennai,apartment,high,unfurnished,5-10,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,22397726
3401,2,1,1,11,12,3118,0,3583,Rajahmundry,independent,high,unfurnished,20+,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,20282315
2061,4,5,2,1,19,1749,0,2652,Kolkata,apartment,high,unfurnished,5-10,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,14409904
2392,2,2,0,19,20,1807,2,3786,Jaipur,apartment,low,semi,0-5,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,14691740
1732,4,5,2,6,26,1608,0,4557,Mumbai,independent,medium,full,5-10,3,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,19220006
2520,3,4,3,7,29,2256,0,3607,Ahmedabad,villa,high,semi,0-5,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,15603840
2273,4,5,2,5,21,1842,2,383,Chennai,villa,high,semi,10-20,6,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,21745867
2509,4,5,3,7,17,2072,2,1822,Rajahmundry,villa,high,semi,10-20,5,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,15716775
2456,3,2,2,3,17,2300,1,4199,Kolkata,independent,medium,unfurnished,10-20,6,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,15550861
1160,4,5,0,0,17,958,2,3171,Mumbai,villa,low,full,10-20,3,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,13786864
2840,1,2,3,5,8,2231,1,5602,Chennai,independent,high,semi,0-5,3,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,25048884
1194,3,3,3,15,16,907,0,5131,Pune,independent,low,full,20+,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,9300702
3206,3,2,0,19,22,2874,2,1549,Kolkata,independent,medium,unfurnished,20+,3,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,19594933
1280,1,1,1,19,20,1012,0,3275,Kolkata,independent,high,semi,5-10,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,11008600
1549,4,5,3,2,15,1333,0,2849,Delhi,independent,medium,full,10-20,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,16585257
1159,1,2,3,3,4,955,0,283,Bangalore,apartment,low,full,0-5,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,9731946
2701,2,3,3,14,15,2467,2,72,Rajahmundry,independent,low,full,0-5,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,18481098
2946,4,4,3,10,29,2459,1,1337,Bangalore,independent,medium,semi,20+,6,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,19332065
2399,3,3,1,16,17,1898,2,294,Bangalore,apartment,medium,unfurnished,0-5,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,17541343
2739,2,2,2,10,26,2066,1,4351,Kolkata,apartment,high,semi,20+,3,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,20261485
2668,2,3,2,12,15,2366,2,5059,Pune,apartment,high,semi,10-20,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,18238608
913,3,2,0,8,9,785,2,7206,Delhi,apartment,medium,unfurnished,5-10,6,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,7915263
2542,1,1,2,7,21,2271,1,6763,Hyderabad,villa,medium,semi,0-5,5,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,21654738
2894,3,3,2,18,22,2297,2,5628,Jaipur,independent,low,semi,0-5,2,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,12727369
3207,1,1,3,6,24,2849,2,5388,Pune,villa,low,full,10-20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20859194
2672,2,1,3,0,29,2442,0,2546,Chennai,villa,low,full,5-10,4,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,14993680
